14902, 2085, 10510, 4678, 9839, 20687, 14775, 757, 20918, 22406, 23432, 3829, 20519, 21528, 263, 12811, 24301, 3063, 20305, 5753
21723, 2673, 18706, 6994, 828, 6638, 23363, 7925, 6030, 9368, 5810, 14312, 2272, 12317, 12751, 1249, 9249, 15050, 9374, 10056
10807, 11300, 14995, 3998, 3639, 19757, 6392, 625, 9295, 4930, 16494, 17772, 311, 6894, 20028, 3394, 7994, 21850, 2281, 21612
11288, 13387, 20647, 6136, 2758, 19830, 15572, 7902, 2453, 13877, 22687, 23829, 16894, 4254, 4501, 18067, 9923, 23275, 10618, 1282
1590, 44, 4879, 20419, 4782, 3641, 15404, 20352, 6381, 12053, 14973, 22776, 17110, 21169, 16336, 3995, 21870, 18143, 12685, 23661
18547, 14253, 20839, 11225, 3999, 8113, 12859, 20396, 20157, 13530, 9330, 19284, 14296, 9017, 11712, 18483, 13075, 14471, 14183, 3714
13234, 24679, 12751, 14599, 15921, 23714, 381, 15609, 21727, 974, 7330, 22885, 1591, 2859, 18471, 18504, 11249, 24061, 12512, 9643
14080, 15176, 6565, 19299, 14759, 8046, 5018, 23617, 7688, 161, 5793, 8200, 17281, 3646, 1441, 4742, 7966, 7959, 5996, 21802
95, 6987, 14862, 23412, 4285, 9169, 18024, 2444, 18832, 3857, 20669, 18430, 16399, 2042, 6257, 290, 3415, 5006, 24167, 4504
10823, 8293, 6442, 5228, 12926, 5346, 831, 14997, 3907, 17310, 23210, 19919, 14202, 23333, 16779, 18245, 9543, 8462, 3403, 15520
17317, 7533, 18915, 1531, 23106, 12257, 4044, 2523, 1939, 5379, 2776, 7926, 17745, 9411, 8847, 8955, 2728, 4393, 22213, 18709
22585, 16078, 19307, 18696, 11648, 23869, 8487, 20456, 18260, 24789, 23749, 5814, 20002, 6811, 9516, 12698, 7465, 16709, 19749, 21127
23035, 14375, 3631, 22232, 7007, 1579, 7845, 21467, 1682, 11059, 12039, 18817, 11932, 15741, 19499, 1696, 11878, 18771, 10027, 13055
9012, 22733, 5420, 11603, 1172, 24139, 2701, 8105, 19851, 16079, 9021, 6638, 11155, 1133, 7021, 19046, 24543, 19480, 4029, 1853
3085, 8495, 12872, 16413, 4434, 21436, 22999, 20843, 1271, 835, 8246, 1720, 11779, 2401, 13715, 8141, 3258, 3570, 4232, 10575
20158, 3877, 21264, 3913, 16785, 11164, 17555, 3750, 20585, 13991, 21736, 13535, 23545, 9911, 17568, 3159, 21730, 19430, 11356, 10747
23662, 11627, 7574, 15088, 3392, 19434, 23974, 18788, 4108, 5236, 19372, 15018, 7366, 14740, 22814, 18088, 16327, 18570, 1235, 17087
8041, 6508, 17833, 1089, 23741, 313, 19865, 15282, 3893, 236, 21105, 21082, 14338, 20783, 19981, 1281, 11041, 20868, 19983, 2112
3180, 12091, 663, 664, 17419, 5167, 20814, 6108, 3806, 1552, 21488, 16063, 7981, 11550, 2907, 5463, 20381, 9595, 11509, 24868
2514, 5935, 23591, 5302, 23522, 13315, 14568, 18875, 11282, 24370, 1747, 14587, 4649, 16786, 19003, 24294, 2638, 11963, 4329, 3526
346, 685, 294, 1662, 1250, 2265, 541, 1590, 1951, 2126, 606, 597, 2379, 1570, 832, 2424, 1776, 233, 461, 1115
2251, 2470, 42, 1256, 307, 1148, 719, 288, 2815, 1742, 2151, 619, 2261, 1337, 1544, 1784, 211, 266, 1865, 2745
648, 1419, 2530, 187, 148, 2150, 289, 200, 942, 482, 478, 1058, 152, 1122, 2433, 827, 2048, 2718, 2707, 196
1580, 865, 2295, 1383, 568, 2775, 1533, 1825, 1083, 1475, 2098, 119, 2389, 2609, 273, 1425, 1367, 1365, 181, 5
2756, 1351, 71, 497, 1409, 1411, 1424, 544, 2031, 2311, 596, 2302, 1736, 393, 1370, 639, 2697, 535, 481, 656
2801, 2357, 2488, 1196, 1652, 437, 1021, 503, 2731, 1036, 1806, 1465, 866, 974, 2582, 669, 2521, 545, 400, 2123
1820, 1055, 763, 2560, 543, 80, 54, 1932, 1927, 2075, 2674, 1905, 2038, 595, 601, 2425, 973, 113, 1197, 2704
412, 1923, 1794, 653, 528, 2737, 1130, 1858, 2638, 1967, 2819, 1685, 251, 2083, 322, 2765, 1450, 553, 1096, 577
1175, 64, 1157, 1011, 1554, 471, 1962, 180, 153, 2166, 2161, 401, 962, 2297, 458, 1895, 445, 475, 775, 749
1786, 969, 555, 262, 1442, 494, 2758, 382, 951, 1530, 2276, 1127, 419, 1574, 2111, 1844, 1274, 1214, 780, 816
